ID,Country,Total Case,New Case,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Case,Serious,Tot Case,Deaths 1M,Totals Tests,Tests 1M,Population
157,Tanzania,"42,846",,846,,N/A,N/A,N/A,7,677,13,,,"63,298,550"
158,Mayotte,"42,004",,188,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259"
159,Mauritius,"41,752",,"1,043",,"40,030",,,,"32,754",818,"358,675","281,374","1,274,727"
160,Togo,"39,394",,290,,"39,081",,,,"4,538",33,"808,655","93,154","8,680,837"
161,Guinea,"38,267",,467,,"37,757",,,8,"2,760",34,"660,107","47,607","13,865,691"
162,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
163,Bahamas,"37,491",,833,,"36,366",,,1,"93,607","2,080","257,839","643,767","400,516"
164,Lesotho,"34,790",,723,,"25,980",,,,"15,990",332,"431,221","198,199","2,175,699"
165,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233"
166,Haiti,"34,202",,860,,"33,052",,,,"2,928",74,"132,422","11,337","11,680,283"
167,Mali,"33,059",,743,,"32,180",,,,"1,540",35,"796,928","37,112","21,473,764"
168,Cayman Islands,"31,472",,37,,"8,553",,,1,"467,797",550,"222,773","3,311,280","67,277"
169,Saint Lucia,"30,004",,409,,"29,095",,,,"162,085","2,209","210,983","1,139,752","185,113"
170,Benin,"27,999",,163,,"27,830",,,,"2,190",13,"604,310","47,268","12,784,726"
171,Somalia,"27,324",,"1,361",,"13,182",,,,"1,622",81,"400,466","23,778","16,841,795"
172,Congo,"25,375",,386,,"24,006",,,,"4,377",67,"347,815","59,991","5,797,805"
173,Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159"
174,Micronesia,"23,948",,61,,N/A,N/A,N/A,1,"203,832",519,"54,967","467,848","117,489"
175,San Marino,"23,616",,122,,"23,471",,,4,"692,856","3,579","157,634","4,624,732","34,085"
176,Timor-Leste,"23,418",,138,,"23,102",,,,"17,101",101,"278,529","203,391","1,369,429"
177,Burkina Faso,"22,056",,396,,"21,596",,,,998,18,"248,995","11,265","22,102,838"
178,Liechtenstein,"21,426",,89,,"21,300",,,1,"558,158","2,318","112,457","2,929,559","38,387"
179,Gibraltar,"20,433",,111,,"16,579",,,,"606,249","3,293","534,283","15,852,213","33,704"
180,Grenada,"19,680",,238,,"19,358",,,4,"173,430","2,097","182,981","1,612,523","113,475"
181,Bermuda,"18,814",,160,,"18,638",,,,"303,750","2,583","1,027,859","16,594,698","61,939"
182,Nicaragua,"18,491",,225,,"4,225",,,,"2,728",33,,,"6,779,100"
183,South Sudan,"18,368",,138,,"18,115",,,1,"1,581",12,"410,280","35,313","11,618,511"
184,Tajikistan,"17,786",,125,,"17,264",,,,"1,786",13,,,"9,957,464"
185,Equatorial Guinea,"17,229",,183,,"16,907",,,5,"11,512",122,"365,697","244,342","1,496,662"
186,Tonga,"16,807",,13,,"15,638",,,,"155,983",121,"535,009","4,965,327","107,749"
187,Samoa,"16,607",,29,,"1,605",,,,"82,116",143,"187,397","926,612","202,239"
188,Monaco,"16,115",,67,,"15,992",,,4,"405,073","1,684","78,646","1,976,875","39,783"
189,Dominica,"15,760",,74,,"15,673",,,,"217,848","1,023","229,344","3,170,187","72,344"
190,Djibouti,"15,690",,189,,"15,427",,,,"15,441",186,"305,941","301,094","1,016,097"
191,Marshall Islands,"15,618",,17,,"15,528",,,,"260,053",283,,,"60,057"
192,CAR,"15,368",,113,,"15,200",,,2,"3,063",23,"81,294","16,205","5,016,678"
193,Gambia,"12,598",,372,,"12,189",,,,"4,924",145,"155,686","60,851","2,558,482"
194,Saint Martin,"12,257",,63,,"1,399",,,7,"308,507","1,586","112,382","2,828,643","39,730"
195,Vanuatu,"12,014",,14,,"11,976",,,,"37,330",44,"24,976","77,606","321,832"
196,Greenland,"11,971",,21,,"2,761",,,4,"210,117",369,"164,926","2,894,810","56,973"
197,Yemen,"11,945",,"2,159",,"9,124",,,23,383,69,"329,592","10,579","31,154,867"
198,Caribbean Netherlands,"11,676",,38,,"10,476",,,,"438,173","1,426","30,126","1,130,559","26,647"
199,Sint Maarten,"11,020",,91,,"10,905",,,N/A,"250,648","2,070","62,056","1,411,454","43,966"
200,Eritrea,"10,189",,103,,"10,086",,,,"2,782",28,"23,693","6,470","3,662,244"
201,Niger,"9,931",,312,,"8,890",,,1,381,12,"254,538","9,759","26,083,660"
202,St. Vincent Grenadines,"9,589",,123,,"9,466",,,,"85,961","1,103","113,703","1,019,292","111,551"
203,Antigua and Barbuda,"9,106",,146,,"8,954",,,1,"91,509","1,467","18,901","189,943","99,509"
204,Comoros,"9,001",,161,,"8,838",,,,"9,919",177,,,"907,419"
205,Guinea-Bissau,"8,960",,176,,"8,660",,,6,"4,342",85,"145,231","70,385","2,063,367"
206,Liberia,"8,090",,295,,"7,783",,,2,"1,525",56,"139,824","26,356","5,305,117"
207,Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436"
208,Chad,"7,679",,194,,"4,874",,,,441,11,"191,341","10,988","17,413,580"
209,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
210,Cook Islands,"7,031",,2,,"7,027",,,,"400,148",114,"19,690","1,120,596","17,571"
211,Saint Kitts and Nevis,"6,597",,47,,"6,548",,,,"122,459",872,"126,932","2,356,221","53,871"
212,Turks and Caicos,"6,557",,38,,"6,499",,,4,"164,993",956,"612,335","15,408,143","39,741"
213,Sao Tome and Principe,"6,281",,77,,"6,204",,,,"27,587",338,"29,036","127,530","227,679"
214,Palau,"5,989",,9,,"5,976",,,,"328,470",494,"69,136","3,791,806","18,233"
215,St. Barth,"5,439",,6,,N/A,N/A,N/A,,"546,908",603,"78,646","7,908,095","9,945"
216,Nauru,"5,247",,1,,"5,075",,,,"481,244",92,"20,509","1,881,042","10,903"
217,Kiribati,"5,013",,18,,"2,703",,,3,"40,618",146,,,"123,419"
218,Anguilla,"3,904",,12,,"3,879",,,4,"256,336",788,"51,382","3,373,736","15,230"
219,Macao,"3,514",,121,,"3,392",+1,+1,,"5,264",181,"7,850","11,760","667,490"
220,Saint Pierre Miquelon,"3,452",,2,,"2,449",,,1,"599,410",347,"25,400","4,410,488","5,759"
221,Wallis and Futuna,"3,427",,7,,438,,,,"312,056",637,"20,508","1,867,419","10,982"
222,Tuvalu,"2,805",,,,,,,,"232,471",,,,"12,066"
223,Saint Helena,"2,166",,,,2,,,,"354,211",,,,"6,115"
224,Falkland Islands,"1,930",,,,"1,930",,,,"545,352",,"8,632","2,439,107","3,539"
225,Montserrat,"1,403",,8,,"1,376",,,,"282,578","1,611","17,762","3,577,442","4,965"
226,Niue,791,,,,790,,,,"487,670",,,,"1,622"
227,Diamond Princess,712,,13,,699,,,,,,,,
228,Vatican City,29,,,,29,,,,"36,295",,,,799
229,Western Sahara,10,,1,,9,,,,16,2,,,"626,161"
230,MS Zaandam,9,,2,,7,,,,,,,,
231,Tokelau,5,,,,,,,,"3,628",,,,"1,378"
